Year;Latitude;Longitude;Depth;Mw
2019;40.845;28.2497;14.8;3.5
2019;40.8825;28.2202;5.4;3.5
2019;40.8702;28.2742;11;3.9
2019;40.8702;28.2732;9.3;3.9
2019;40.8758;28.2943;15.1;4.2
2019;40.859;28.2855;9.4;3.9
2019;40.8802;28.216;13.3;5.7
2019;40.8783;28.2212;7.6;3.7
2019;36.5578;28.6412;61.2;3.5
2019;35.8012;28.2222;7.3;3.8
2019;40.8745;28.212;9.9;4.5
2019;36.0227;27.2343;12.1;4.1
2019;36.537;43.6463;64;3.9
2019;38.7502;43.4807;5;3.6
2019;40.7603;32.9325;1.6;4.4
2019;40.7607;32.9528;5.5;3.5
2019;40.7765;32.9563;6.6;4.2
2019;38.6727;44.8228;19.4;4.6
2019;35.0288;27.9023;5.6;3.7
2019;40.752;32.9668;5;4.5
2019;40.7405;32.9657;5;3.6
2019;40.7475;32.9705;6.1;4.8
2019;40.7305;32.9682;5;4.9
2019;40.6462;35.3857;4.8;3.9
2019;40.6297;35.3863;5;3.9
2019;40.9985;43.931;5.6;3.5
2019;41.0482;43.9187;5;4.7
2019;35.1837;28.095;1.9;4.3
2019;38.4967;44.2612;1.7;4.2
2019;35.767;31.6502;10.2;4.1
